date,account,merchant,category,amount
2026-04-01,Checking,Employer Payroll,Income,4200.00
2026-04-02,Credit Card,Whole Foods,Groceries,-138.44
2026-04-03,Credit Card,Shell,Gas,-52.81
2026-04-05,Checking,Apartment Rent,Housing,-1650.00
2026-04-07,Credit Card,Netflix,Subscriptions,-15.49
2026-04-08,Credit Card,Chipotle,Dining,-19.26
2026-04-10,Credit Card,Amazon,Shopping,-84.19
2026-04-12,Checking,Savings Transfer,Savings,-500.00
2026-04-15,Checking,Employer Payroll,Income,4200.00
2026-04-16,Credit Card,Trader Joes,Groceries,-91.37
2026-04-19,Credit Card,Uber,Transport,-27.40
2026-04-21,Credit Card,AT&T,Utilities,-88.00
2026-04-24,Credit Card,Target,Shopping,-64.71
2026-04-26,Credit Card,Blue Bottle,Coffee,-12.75
2026-04-29,Credit Card,United Airlines,Travel,-340.22
2026-05-01,Checking,Employer Payroll,Income,4200.00
2026-05-02,Credit Card,Costco,Groceries,-176.83
2026-05-04,Credit Card,Chevron,Gas,-61.10
2026-05-05,Checking,Apartment Rent,Housing,-1650.00
2026-05-07,Credit Card,Spotify,Subscriptions,-11.99
2026-05-09,Credit Card,Sweetgreen,Dining,-22.13
2026-05-11,Credit Card,Amazon,Shopping,-112.54
2026-05-13,Checking,Savings Transfer,Savings,-600.00
2026-05-15,Checking,Employer Payroll,Income,4200.00
2026-05-17,Credit Card,H Mart,Groceries,-128.06
2026-05-20,Credit Card,Lyft,Transport,-18.94
2026-05-22,Credit Card,ComEd,Utilities,-96.12
2026-05-24,Credit Card,REI,Shopping,-149.99
2026-05-27,Credit Card,Starbucks,Coffee,-16.48
2026-05-29,Credit Card,Delta Airlines,Travel,-289.60
